date,seoul,busan,daegu,incheon,gwangju,daejeon,ulsan,sejong,gyeonggi,gangwon,chungbuk,chungnam,jeonbuk,jeonnam,gyeongbuk,gyeongnam,jeju
2030-01-03 00:00,78713.555,78913.125,78713.555,78713.555,78913.125,78713.555,78713.555,78913.125,78713.555,78913.125,78913.125,78713.555,78713.555,78713.555,78913.125,78713.555,78913.125
2030-01-03 01:00,75740.46,75984.586,75740.46,75740.46,75984.586,75740.46,75740.46,75984.586,75740.46,75984.586,75984.586,75740.46,75740.46,75740.46,75984.586,75740.46,75984.586
2030-01-03 02:00,74232.69,74582.16,74232.69,74232.69,74582.16,74232.69,74232.69,74582.16,74232.69,74582.16,74582.16,74232.69,74232.69,74232.69,74582.16,74232.69,74582.16
2030-01-03 03:00,73536.3,73812.445,73536.3,73536.3,73812.445,73536.3,73536.3,73812.445,73536.3,73812.445,73812.445,73536.3,73536.3,73536.3,73812.445,73536.3,73812.445
2030-01-03 04:00,74167.45,74443.58,74167.45,74167.45,74443.58,74167.45,74167.45,74443.58,74167.45,74443.58,74443.58,74167.45,74167.45,74167.45,74443.58,74167.45,74443.58
2030-01-03 05:00,76271.87,76524.984,76271.87,76271.87,76524.984,76271.87,76271.87,76524.984,76271.87,76524.984,76524.984,76271.87,76271.87,76271.87,76524.984,76271.87,76524.984
2030-01-03 06:00,79273.586,79448.57,79273.586,79273.586,79448.57,79273.586,79273.586,79448.57,79273.586,79448.57,79448.57,79273.586,79273.586,79273.586,79448.57,79273.586,79448.57
2030-01-03 07:00,86424.46,86626.47,86424.46,86424.46,86626.47,86424.46,86424.46,86626.47,86424.46,86626.47,86626.47,86424.46,86424.46,86424.46,86626.47,86424.46,86626.47
2030-01-03 08:00,97355.15,97556.93,97355.15,97355.15,97556.93,97355.15,97355.15,97556.93,97355.15,97556.93,97556.93,97355.15,97355.15,97355.15,97556.93,97355.15,97556.93
2030-01-03 09:00,98959.22,99184.44,98959.22,98959.22,99184.44,98959.22,98959.22,99184.44,98959.22,99184.44,99184.44,98959.22,98959.22,98959.22,99184.44,98959.22,99184.44
