,seoul,busan,daegu,incheon,gwangju,daejeon,ulsan,sejong,gyeonggi,gangwon,chungbuk,chungnam,jeonbuk,jeonnam,gyeongbuk,gyeongnam,jeju
0,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train
1,77435.24,78138.8,76357.14,78017.195,77740.83,77355.164,78342.055,77529.33,78695.39,78118.266,76297.83,77462.19,76956.945,77318.74,77883.11,79480.1,78442.625
2,74391.0,76133.68,73736.266,75851.945,75024.88,76100.695,75866.14,75747.25,76960.1,76318.84,74878.67,75801.16,75333.89,76163.945,76963.445,77381.91,76303.734
3,72857.01,74627.555,72465.13,73964.73,73655.766,74954.67,74364.03,73712.836,75495.77,74876.93,73370.02,74368.29,73539.8,72953.18,75603.055,75248.64,75643.625
4,70037.47,70985.984,68802.41,69695.58,70282.14,70941.25,70599.54,70500.29,70747.375,72985.086,69494.19,71031.766,70945.414,68953.11,70959.08,71453.1,71005.76
5,71424.91,72695.8,70514.23,71768.11,72153.21,72926.85,72880.445,72443.67,72621.95,74185.04,71439.195,71909.086,72654.67,71420.73,71991.5,73006.0,73061.98
6,73859.6,74218.79,72305.484,73400.13,73894.07,74567.3,75148.29,74568.79,74282.41,75969.1,73299.72,74026.78,74430.07,73021.71,74458.76,75030.76,74873.05
7,77836.016,77205.48,76311.3,77391.34,78168.664,79463.58,79986.305,79491.13,78885.1,79543.766,77695.375,76906.56,77601.79,77688.86,78086.195,79142.945,79004.266
8,82806.82,82709.43,81503.47,80987.664,82876.52,84923.79,84071.125,84302.9,83912.945,83925.44,82822.516,81277.62,81852.6,83665.1,82716.195,83949.016,83409.86
9,90561.07,90282.38,88936.41,88305.07,90285.21,91255.73,91516.32,91295.11,90591.414,91599.234,89328.79,88738.195,89656.16,91024.82,89759.695,92415.625,90756.45
10,100290.25,99749.36,97371.84,97800.21,99794.086,99832.15,101170.15,99691.55,99279.93,101337.99,98421.69,98272.36,98919.93,100251.59,98881.625,102487.664,100005.02
11,99626.945,97804.49,96312.586,96677.945,98192.586,97985.67,99341.87,97704.695,97676.95,99880.7,97120.516,96779.805,97415.63,98952.21,97400.97,100105.81,98044.39
12,97662.01,96650.12,95114.234,94492.375,96129.62,96454.47,96965.336,95610.53,95139.51,97552.03,95669.59,94676.12,95378.59,97098.19,94971.945,98031.61,95414.125
13,95583.31,93153.95,92348.86,91399.66,93155.86,92429.05,93743.74,93272.76,91476.07,94985.81,91794.15,91281.35,93000.08,94111.1,90608.27,94478.55,91488.164
14,98052.04,96321.164,95071.43,94091.625,94711.55,95201.03,96036.46,95466.91,94308.84,95760.27,93877.48,93582.82,94787.65,96153.74,93985.81,96471.98,95183.11
15,101075.71,99732.55,98378.484,97411.89,98774.05,97760.31,99563.28,98261.29,96785.836,98541.03,96783.74,96466.27,97445.625,98746.31,96709.15,99157.516,97971.03
16,98285.61,96629.48,95527.75,95688.98,96097.74,94334.31,96937.28,95012.46,93665.32,94696.38,93009.61,92966.836,94795.414,95857.12,92843.27,96407.26,94919.336
17,98092.39,97771.85,96093.09,95604.76,96076.39,94408.78,97034.7,95012.57,94141.55,93113.63,92897.5,93047.47,95123.64,96317.56,92746.09,97142.71,95882.37
18,101500.7,100281.54,99204.35,99693.4,99680.78,97760.5,100914.27,98427.52,97463.97,97553.19,96072.88,97446.03,98541.016,99057.05,97710.57,100609.06,99254.2
19,99237.6,98316.06,97180.85,97492.33,97458.32,96731.09,98703.13,96163.13,95803.53,96359.06,94647.15,96442.24,96116.266,96150.97,97167.85,98426.78,97144.02
20,91943.35,90637.78,90176.93,90601.49,90479.6,89262.46,91494.414,89242.25,89433.16,89439.54,87579.64,89150.766,89249.58,88549.375,89105.87,91102.65,89644.41
21,91857.53,92518.81,90755.07,91505.414,91282.12,91043.9,92275.54,90617.02,90308.37,90091.16,89392.32,90076.74,90681.61,90449.766,90959.35,92809.88,91633.305
22,87898.02,88608.336,86513.945,88040.91,87747.24,86813.34,88298.3,87264.47,86445.19,87325.22,85830.77,87160.4,87213.6,86971.06,87710.016,88999.71,87780.47
23,85891.31,85953.26,84480.96,86390.766,85467.31,85080.89,85983.63,85355.086,86346.58,86234.61,84221.06,85598.7,85059.12,85019.92,86243.04,86762.69,86483.58
24,79950.06,80732.46,79221.94,80785.94,79926.03,79744.32,80448.36,80236.82,81411.305,80682.59,79217.31,80182.39,79800.36,80172.47,81548.28,81689.06,80985.49
25,77265.77,77917.336,76267.09,78023.87,77609.15,77194.64,78178.07,77523.81,78405.38,78108.31,75990.945,77359.414,76947.016,77264.94,77703.22,79357.92,78228.32
26,71019.17,72588.56,72511.15,73524.67,73309.87,74450.27,69242.1,74525.35,73555.44,74539.13,69581.54,74913.78,74487.13,69357.64,71221.72,74143.77,72426.32
27,71904.11,73987.89,72281.61,72987.23,73011.45,74506.69,71400.06,73314.92,74189.836,74738.93,70756.76,74262.88,73527.16,70531.53,72697.45,74388.29,73749.16
28,68081.41,68911.336,68566.48,69276.51,69751.305,70160.71,67043.23,70252.39,69054.664,71933.47,65845.234,70863.47,70974.16,65215.844,66759.42,69885.95,68115.08
29,70477.17,71943.38,70586.36,71633.39,72052.47,72778.01,71065.16,72501.44,71786.91,73499.95,69037.66,71931.03,72862.33,69280.82,69202.984,72540.02,71714.945
30,71597.28,71672.266,71685.39,72553.67,73023.69,73323.33,71256.914,74024.375,73012.02,74771.664,69813.01,73551.695,74192.18,69157.18,70110.21,73144.664,72120.414
31,75202.84,75604.72,75514.46,75325.71,76863.36,78558.734,74334.14,78188.49,76062.7,78460.36,73296.91,76473.96,77187.34,72939.91,73237.11,76857.57,75657.2
32,78054.234,78420.85,78963.22,77398.74,79847.64,81913.04,75514.92,81953.31,78651.75,81238.51,75152.82,79670.67,79832.94,74930.43,75146.98,79458.88,77555.586
33,78320.87,77963.87,81415.92,79167.99,81988.836,83154.88,73757.875,84195.95,78596.4,83081.54,72294.234,82385.086,83279.69,73151.59,72750.21,80039.63,76171.83
34,72297.734,71336.77,79921.69,75137.87,79629.16,80149.375,62671.594,82981.766,71911.79,81412.9,60954.203,82875.445,83558.66,62371.203,61128.754,73872.79,65996.85
35,58592.02,57405.273,71441.664,62419.574,68356.8,70834.3,50447.57,74093.81,57422.62,72018.87,49578.89,75487.73,75687.83,50515.25,49611.258,59235.562,52828.906
36,63836.785,63969.418,74714.27,66876.234,71713.58,73816.74,57980.652,76058.4,62852.613,74404.664,56683.31,77308.32,77281.13,58383.234,56900.06,65304.51,59876.117
37,59217.535,57035.188,68339.88,61639.234,65769.07,66196.11,53056.457,70044.14,56610.344,67477.7,51145.58,70938.445,71394.336,51978.043,49826.99,58102.81,53933.027
38,61558.08,60498.12,69397.18,62857.492,66319.77,67818.805,57989.523,70419.08,59412.703,66941.35,55496.51,70322.555,70715.91,57039.57,54860.06,60523.27,58309.086
39,57411.61,57239.61,65170.51,58293.402,62447.77,63344.49,53725.34,66473.9,55654.117,62925.754,52127.34,67115.336,66945.64,52221.152,50848.758,56693.047,54011.074
