,seoul,busan,daegu,incheon,gwangju,daejeon,ulsan,sejong,gyeonggi,gangwon,chungbuk,chungnam,jeonbuk,jeonnam,gyeongbuk,gyeongnam,jeju
0,test,test,test,test,test,test,test,test,test,test,test,test,test,test,test,test,test
1,64388.35007018592,63645.770427125804,59961.25170193141,74871.5056840482,62338.31956313364,63871.34826603707,64312.72804359458,58085.51293737675,71177.75483241712,66464.53924504445,65116.27133271225,69982.21935480835,64735.44271471729,59755.0130198562,62187.066075810915,71079.62689815993,72609.71945607563
2,60495.92461008206,55897.83500519136,59427.57313532097,68260.52267198027,66428.95729459186,59238.51441568208,58827.56819256014,59599.404799397846,59651.91379041682,67968.93109111174,59715.96004849952,60013.72356741039,56518.542178204494,61929.46614277513,63796.113922767356,55867.39356520047,63538.874036232846
3,60495.76806119494,55897.48706363015,59427.390285751346,68260.50174617808,66428.9178286145,59238.32039610392,58827.36899239808,59599.23176568292,59651.71173497,67968.90926290149,59715.79617974469,60013.55809773996,56518.275659798004,61929.34488519815,63796.046082408335,55867.04213845328,63538.78664090311
4,60495.61161992456,55897.13950200697,59427.20757182203,68260.48082732188,66428.8783777381,59238.126526917025,58827.16994789703,59599.058857912976,59651.50984190855,67968.88744196993,59715.63242893696,60013.39274897341,56518.00939648333,61929.22369958513,63795.9782736069,55866.69109662086,63538.69929022923
5,60495.45528615988,55896.792319699205,59427.02499338215,68260.4599154083,66428.83894195389,59237.93280794648,58826.97105887447,59598.8860759504,59651.30811103655,67968.86562831367,59715.46879594897,60013.22752097827,56517.74338789406,61929.102585872024,63795.91049634096,55866.34043907077,63538.611984177034
6,60495.299059790086,55896.44551608582,59426.84255028074,68260.4390104337,66428.79952125333,59237.73923901745,58826.77232514776,59598.71341965801,59651.10654215836,67968.84382192887,59715.30528065353,60013.06241362202,56517.47763366444,61928.98154399473,63795.84275058841,55865.99016517182,63538.52472271217
7,60495.142940704434,55896.099090547024,59426.66024236732,68260.41811239484,66428.76011562775,59237.545819955674,58826.573746535425,59598.54088889835,59650.90513507876,67968.82202281195,59715.141882923475,60012.89742677257,56517.212133429384,61928.86057388942,63795.77503632745,55865.640274294135,63538.437505800364
8,60494.986928792336,55895.75304246435,59426.47806949153,68260.39722128816,66428.72072506834,59237.3525505868,58826.375322855485,59598.36848353458,59650.703889603064,67968.80023095923,59714.97860263204,60012.73256029778,56516.94688682485,61928.739675492114,63795.70735353598,55865.29076580936,63538.35033340774
9,60494.831023943356,55895.40737122085,59426.29603150326,68260.37633711021,66428.68134956666,59237.159430737185,58826.17705392665,59598.19620342985,59650.50280553638,67968.77844636711,59714.815439652564,60012.56781406594,56516.681893487104,61928.618848739134,63795.6397021921,55864.94163909043,63538.26320550006
10,60494.67522604732,55895.062076200804,59426.11412825271,68260.35545985756,66428.64198911405,59236.96646023315,58825.97893956771,59598.02404844775,59650.30188268467,67968.75666903204,59714.6523938584,60012.403187945485,56516.417153053146,61928.498093566675,63795.57208227394,55864.59289351171,63538.17612204324
11,60494.51953499394,55894.717156789746,59425.93235959011,68260.33458952676,66428.60264370182,59236.77363890139,58825.78097959786,59597.85201845162,59650.10112085391,67968.73489895024,59714.48946512336,60012.23868180481,56516.152665160946,61928.37740991102,63795.50449375947,55864.24452844885,63538.08908300329
12,60494.36395067331,55894.37261237457,59425.750725366066,68260.31372611434,66428.56331332127,59236.58096656878,58825.58317383645,59597.68011330552,59649.900519850285,67968.7131361182,59714.326653321245,60012.07429551281,56515.88842944879,61928.256797708746,63795.43693662694,55863.896543279,63538.00208834626
13,60494.20847297586,55894.028442343726,59425.56922543135,68260.29286961694,66428.52399796392,59236.38844306267,58825.385522103315,59597.50833287329,59649.700079480695,67968.69138053228,59714.16395832618,60011.91002893849,56515.624445556015,61928.13625689644,63795.369410854415,55863.548937380576,63537.91513803804
