,seoul,busan,daegu,incheon,gwangju,daejeon,ulsan,sejong,gyeonggi,gangwon,chungbuk,chungnam,jeonbuk,jeonnam,gyeongbuk,gyeongnam,jeju
0,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train
1,78283.25,77478.87,77765.625,79910.47,78489.57,78462.125,78162.11,78188.91,77574.84,78446.125,77621.32,78020.63,77642.02,78299.92,76899.5,75950.57,77915.18
2,76508.195,74607.695,76425.4,77135.914,76762.81,76790.88,76020.23,77701.086,75483.914,77222.13,77221.734,76359.94,76229.77,76821.44,75873.25,74655.97,76549.64
3,75778.1,73632.85,74449.29,74308.84,75348.34,74444.73,75206.086,76210.54,75432.02,76238.5,75743.83,75870.195,74181.914,75622.266,74697.266,73592.3,75357.555
4,69598.32,71534.27,70057.09,70779.945,69742.25,71105.59,71908.68,71011.836,71518.26,72565.18,69863.664,69048.54,69477.914,70773.445,69631.914,68820.49,71279.25
5,71920.83,72057.48,72647.9,73418.734,71634.59,72749.305,72900.85,73110.17,71744.195,74496.586,72799.18,73840.695,72075.95,72905.836,72441.586,72305.7,72890.53
6,73210.99,75019.48,73710.71,74624.914,73340.086,74164.85,75113.14,73420.95,74221.875,76452.17,73336.59,73127.516,72986.86,73973.83,73639.805,73511.91,74789.586
7,78714.664,77671.734,78075.37,79268.97,78833.16,78113.13,78831.28,78809.82,78577.26,80643.945,78700.38,79276.48,78288.43,79513.24,79178.0,78329.93,79113.13
8,83110.16,82628.51,82839.25,84476.01,83081.89,82601.484,84204.336,83712.54,83851.84,84916.41,82926.14,84387.76,83707.97,84392.195,84478.48,83490.39,83872.62
9,90275.68,90241.61,89306.28,90723.33,90656.375,89596.64,91787.66,89635.65,90845.625,91477.07,89917.98,91870.57,90093.28,91385.43,90692.055,90533.49,90826.75
10,97662.78,99382.0,98091.164,100637.63,99550.805,98859.86,98696.42,97268.42,98605.32,100745.18,98043.38,99135.5,97892.65,99091.87,99745.78,99028.32,99391.04
11,97509.43,97919.73,97707.76,98872.83,98705.484,97157.62,98869.88,97834.21,98748.89,98785.97,98554.32,98778.07,97326.47,98906.96,98909.336,98843.81,98221.46
12,94783.94,95349.19,95044.164,96165.35,95403.67,95241.445,96765.234,94409.06,96356.52,97117.3,95514.51,95788.336,95008.5,95716.89,96723.3,96096.33,96410.86
13,90063.51,91049.62,91455.61,93178.266,92343.1,92601.31,92040.71,90917.01,90781.1,93946.23,91088.22,91226.6,92687.375,92703.98,92880.36,92532.32,92594.71
14,94042.8,94113.85,93966.76,94099.45,95672.56,94673.414,96390.49,94427.08,95725.21,95526.71,94171.1,95373.74,95367.28,95370.68,96091.984,95693.57,95248.88
15,96476.74,97201.35,97657.836,97460.37,98866.86,97620.375,98351.42,96920.59,97882.75,98170.29,96352.73,97881.24,98486.76,98308.016,98767.21,98840.83,97877.33
16,92607.125,95146.85,94199.11,95347.63,95946.44,95172.9,97166.28,92932.14,95462.914,94506.6,92954.12,94088.836,95218.62,94645.016,95578.164,95925.69,94979.26
17,93568.86,95748.375,94485.99,96174.61,96081.97,95467.67,96581.77,94116.95,94674.08,94184.33,94400.71,97323.68,96186.12,95287.836,95862.67,96345.92,95366.53
18,96456.54,98762.9,98410.25,98331.195,99487.59,98694.48,99369.87,96333.24,97783.38,97907.664,96303.8,98231.47,97442.2,97969.695,98952.14,99357.62,98142.19
19,96138.29,97769.164,98598.61,97343.695,97796.9,96270.2,98340.15,97454.3,97789.74,96073.516,96689.99,97454.15,96267.12,97357.266,96919.98,97543.37,96133.5
20,89314.38,91203.07,91898.27,90966.22,90665.99,89880.82,91962.78,90759.71,90486.64,89571.07,89576.664,90679.555,89625.68,90784.164,90374.17,90488.836,89432.63
21,90026.55,90775.13,92028.31,91629.79,91358.21,91087.98,92458.92,91274.85,90957.68,90699.94,90289.19,91653.13,90972.74,90753.56,90617.44,91721.445,90284.055
22,86153.1,86925.84,87961.6,87153.87,87482.58,87511.664,88136.16,87052.2,86543.234,87340.195,85451.59,86302.91,86619.34,86584.18,85902.78,87022.336,86457.75
23,86680.836,84978.21,86607.29,86050.65,86964.39,85778.87,87243.58,87859.91,85646.55,85737.45,85863.13,86628.15,85743.57,86864.95,85542.32,86276.984,85200.57
24,81623.47,80682.555,81485.53,81390.07,81529.55,80762.26,82539.7,82363.38,82029.97,80483.36,80480.72,81061.12,80728.2,81583.69,79841.99,79897.95,80573.836
25,78081.336,77328.47,77740.83,79606.66,78526.14,78419.68,78198.266,78184.33,77588.98,78214.516,77626.195,77746.375,77646.086,78284.49,76758.555,75944.52,77871.87
26,70140.5,73830.5,72427.79,73190.12,74949.87,73363.54,72303.03,73929.37,74120.79,71530.234,72738.57,73268.12,71802.15,73729.77,74048.18,70678.78,72857.08
27,73254.17,73325.04,73136.31,73273.13,74824.7,73359.18,73466.78,74740.57,75123.875,73261.1,73929.4,74672.06,72711.5,74286.195,74116.055,72402.195,73848.37
28,65833.7,71873.61,69096.39,69131.805,68979.23,69168.39,70946.555,68484.15,71860.71,67820.77,68839.53,68446.4,68088.1,68819.61,69430.266,67511.51,68988.92
29,69498.195,72191.14,72079.22,72580.87,71367.34,72079.87,72323.56,71617.83,71825.48,71243.17,72449.57,73325.484,71541.68,71703.766,72927.305,71224.43,71805.03
30,69846.58,74872.87,72781.39,73209.14,72669.984,72060.44,73886.37,71616.64,73993.63,72377.92,71558.49,72419.33,71583.17,72577.12,73014.484,72223.56,72771.91
31,73533.99,77092.68,75081.78,76561.96,77667.91,75044.89,75627.03,75311.4,77437.234,75344.54,74175.51,76342.27,74998.32,76761.0,77826.44,75653.21,75777.59
32,75333.6,80341.125,77296.336,78691.41,79707.055,77342.43,78288.06,78556.83,80834.92,77164.2,76720.04,79669.06,77394.29,79791.336,81174.11,77634.54,78439.875
33,72566.484,83466.98,77256.57,77715.33,81965.14,77332.97,79173.97,76689.11,83295.35,74116.09,75627.9,79589.305,77267.5,79906.08,82733.25,77063.06,78090.586
34,60509.215,83620.13,70204.516,71681.234,79469.05,70880.44,71219.875,68741.766,80944.58,63825.47,68599.516,72201.375,71371.27,74096.08,80290.54,70156.055,71429.87
35,49954.453,76237.875,58608.086,58015.28,68732.86,56416.035,57184.25,57590.844,72854.75,51908.344,55460.777,60617.79,59027.402,62210.285,70185.72,57095.652,58471.508
36,57046.305,77376.23,63897.047,62931.664,71446.73,62429.098,62741.586,62074.777,74336.84,58913.43,61027.137,65480.785,64015.59,66181.21,73597.39,62506.516,64359.176
37,50455.652,70709.01,58480.746,56931.348,64813.797,56882.46,57502.176,55786.133,67176.54,52922.254,55609.035,59366.613,58260.676,60348.836,65635.38,56892.66,57889.176
38,55235.5,70011.555,59116.59,59310.09,66588.6,59412.906,59682.707,58333.29,67944.266,57173.863,57662.492,61583.86,60630.035,61929.88,67271.51,59073.22,60221.168
39,51024.47,67488.516,57254.26,56365.887,62512.406,55244.53,55623.156,55698.168,64885.805,53023.1,54246.44,58321.543,57474.527,59509.387,62854.35,56242.684,56799.195
40,52888.18,68037.04,57788.85,57444.54,63655.082,57205.63,57520.66,56442.676,65556.945,54889.297,54731.76,59030.617,57803.875,60225.793,64205.87,57316.21,58117.246
