,seoul,busan,daegu,incheon,gwangju,daejeon,ulsan,sejong,gyeonggi,gangwon,chungbuk,chungnam,jeonbuk,jeonnam,gyeongbuk,gyeongnam,jeju
0,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train
1,81415.52,78623.07,78504.92,77442.59,79341.12,79031.21,80746.695,83847.39,79921.84,80347.46,78686.125,79312.51,80214.71,80930.01,79858.66,78054.91,79371.664
2,77405.87,74874.89,75119.4,73714.664,72374.516,74056.75,76175.61,78241.805,76115.78,73857.27,74453.64,75030.16,76448.66,77923.016,76389.66,75698.92,75168.29
3,73371.97,76240.734,71901.46,71793.63,71822.08,71028.34,73570.836,75153.695,74265.34,72564.625,74076.65,72616.305,74208.44,74966.96,74185.984,73821.23,72904.88
4,70053.734,75257.38,72075.27,72458.01,72160.14,71436.85,72801.945,72741.56,72630.3,72907.94,74516.09,74023.2,72786.75,73754.41,72640.695,70722.5,71663.98
5,70459.555,76223.57,73700.42,72774.53,73129.83,73608.26,73597.7,72569.74,72401.836,74199.89,73494.625,74349.5,72716.64,74013.43,73502.0,70711.87,71632.1
6,73405.78,77212.73,75017.766,75142.625,74457.91,75223.61,75181.984,74117.02,73498.2,75678.78,74951.36,75868.734,74583.9,76483.805,75819.56,75863.516,74100.64
7,78349.0,80221.76,78881.516,78981.08,78828.49,79355.91,78497.484,78694.24,77097.31,80161.42,79208.3,80897.45,78522.2,80564.086,79414.87,79221.2,79198.555
8,85989.055,85890.57,84499.54,85534.42,86035.05,84379.8,84223.41,83885.336,86433.234,84234.02,84966.164,86075.35,84425.195,86251.35,82575.06,84444.57,86686.66
9,90257.83,96253.88,96139.69,97096.03,95045.836,96041.06,95049.42,90596.03,95418.66,95401.85,99252.01,96335.96,92268.664,98287.17,94395.55,94901.85,98565.695
10,100547.45,101750.734,96106.93,98046.36,98448.73,99756.945,99342.23,100355.58,102546.9,102119.74,98283.555,99173.125,101628.39,101146.87,101211.74,99239.92,100630.32
11,96853.29,98041.72,96256.73,96316.08,97728.84,97987.04,97791.82,96742.01,98298.14,97266.95,97525.38,97842.71,100032.51,98570.875,100674.586,97973.33,99587.086
12,96002.734,95527.69,94748.07,92268.82,95744.125,95294.54,95042.6,94925.51,93879.8,95137.49,93451.7,94785.055,95939.46,96494.08,96212.08,95650.22,95222.21
13,91510.164,91235.39,90633.47,89751.664,91844.02,92145.5,91608.92,91011.43,94892.81,91124.03,89628.14,89820.03,94426.52,92455.03,92578.68,90030.36,90086.7
14,96635.07,93769.29,96639.51,93322.55,95537.99,94077.914,93606.125,95189.36,95267.555,94028.5,95493.11,94916.93,92802.35,95936.79,95761.625,93799.32,92466.766
15,96860.766,94720.4,95792.81,94828.086,96937.43,97470.62,93365.23,94730.586,96762.54,96668.66,97357.6,96179.18,95741.57,97177.49,97474.88,95486.75,96060.14
16,96611.875,95898.36,95761.41,95113.17,95491.82,98207.664,94247.445,95616.52,95140.36,97001.45,96590.14,95381.37,96613.086,98002.72,97414.79,94443.29,95946.055
17,95433.66,94075.25,97442.61,94418.56,97586.414,97367.23,95689.984,96361.48,99152.26,95647.07,94460.1,93454.89,95874.99,97069.03,96924.51,96139.97,94940.914
18,97343.52,96778.39,97388.75,96448.53,98624.484,97859.71,98226.32,96956.61,98811.77,98377.54,96618.85,95822.2,97525.6,99104.305,99370.25,96675.69,96299.164
19,96425.32,97371.83,95877.68,95421.75,96668.82,95867.29,95597.36,96606.85,96697.695,96083.81,95942.695,95931.53,97356.26,97057.516,98864.69,94521.88,95178.086
20,94093.07,94313.78,93784.39,92697.5,92607.36,93864.39,93786.6,95084.17,95142.27,93181.2,93213.85,93442.44,95047.81,94125.0,96440.9,92921.3,92495.99
21,91520.05,90153.88,91024.63,90252.516,91945.195,91101.875,91453.26,90831.055,91596.83,90040.82,90159.87,90661.06,92252.44,91405.98,93928.66,89486.31,89320.13
22,88649.95,87587.19,87982.62,86969.016,86893.1,87823.75,88117.09,89784.85,88652.766,86861.695,87107.39,87659.734,88850.984,88701.68,90366.27,86335.35,85725.8
23,85556.45,84462.94,84556.42,83817.766,81813.91,84430.234,84545.38,86231.89,84764.98,84502.53,84395.27,83854.77,84949.19,85916.05,85522.625,83876.04,82393.7
24,82479.16,82016.625,80665.836,80470.625,81146.805,81087.555,81475.14,82986.11,81078.71,82635.516,82604.47,81425.24,81312.055,83531.1,81372.58,80988.73,79629.39
25,81388.66,78332.55,78511.88,77305.56,78997.875,78803.07,80742.914,83641.95,79896.555,80103.18,78404.945,79381.98,80208.69,80669.18,79683.52,77856.195,79243.305
26,74826.89,73731.14,74602.07,73128.49,72180.1,72038.414,74110.32,77115.59,75374.2,72928.87,73580.04,73952.086,75788.945,77427.055,75466.625,74823.2,73429.6
27,69968.86,74476.195,71408.19,70781.76,71522.45,69546.2,71954.02,74615.39,73928.5,71921.516,73025.125,71717.58,73797.805,74638.22,73211.8,73066.09,71792.055
