,seoul,busan,daegu,incheon,gwangju,daejeon,ulsan,sejong,gyeonggi,gangwon,chungbuk,chungnam,jeonbuk,jeonnam,gyeongbuk,gyeongnam,jeju
0,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train
1,77068.90663169704,76805.23554101228,77256.39440717465,77788.464655462,77196.42551420949,77443.01670704306,77330.80285513148,76756.71919645111,77417.45920566029,77367.9725088162,77307.1326712076,77447.17529170442,77243.6200962674,77007.88339519784,77639.6691376408,77320.55171903699,78150.14515802625
2,74228.39594081264,74222.45345625123,74265.40353179586,74711.30127730628,74777.56433721982,74713.1695644488,74533.98382059824,74450.89200789723,74413.7058395875,74782.36876364966,74593.10799607167,74441.4263351508,74560.74401523752,74357.28122515343,75108.11756689126,74637.39379035875,75191.12275656588
3,73047.55001387338,73409.146207944,73583.84360639498,73552.9335352462,73832.61928026185,73659.18983440344,73149.79782742934,73675.29032987205,73067.7505678804,73998.34714430541,72839.42531609868,72974.32787639683,73389.74695102283,73183.18283296264,73668.05021502246,73546.42526421267,73571.209397278
4,72598.8408709767,72883.02040380097,72951.69140668654,72809.48645648298,72969.4880452069,72412.54314242404,72223.86385395372,72772.94004617467,72564.54459637814,73501.09530111442,72156.48027549539,72400.6283627264,72833.91300826601,72932.14712968653,72751.87994627161,72737.39913468709,72579.34508871578
5,73205.38221668593,73030.16397210077,73127.55470691413,73088.0947482309,73027.39836466259,72784.69945229226,72816.67152560223,72995.46587912455,72905.23156383715,73769.324106809,72785.98669404339,72952.0474710568,73333.63112090692,73274.40120296714,72912.00907950854,73079.57088196547,73220.78416231165
6,75152.60193014676,74749.87197266884,74816.45889941238,75350.99883977695,75033.06101451567,74833.39117746578,75113.20731699433,74946.56159897892,75087.77839066403,75528.86731067928,74914.05498042653,75195.34547410133,75318.98720382985,74938.2293071122,74820.0937450367,75199.07241310434,75096.91127004476
7,78855.68678191243,78442.65054624941,78506.630876575,79149.19519585797,78836.59033541402,78444.26779424826,79314.14430298355,78375.99446871298,79072.20974837102,79007.78785267237,78583.1067197196,78994.20573162555,79029.6238627971,78499.37238509221,78573.53536142003,78854.0737258772,79017.0778066919
8,84811.93107447668,84844.2461584286,84410.85803542397,84768.70501885118,84738.33128741055,84328.89803844437,84824.80120006221,83853.60318416575,84663.21523777119,84592.72026918527,84973.95643927189,84886.9877097384,84976.64113302389,84629.58167499666,84270.12868591526,84930.9894946097,84566.13885758158
9,94977.21944227468,94155.28866664041,94248.86624797425,94035.92620815913,94601.828714759,94165.6753295097,93992.59901737222,93191.21586489551,93655.73512117125,93503.92496931457,95249.20522437553,94214.5289466345,95234.95872776331,94655.4261207224,93621.47042045883,93955.55134694345,93605.38352927423
10,99183.14828275163,98123.36300525858,98542.90558837545,97918.327044514,98596.75217340898,98831.78434719429,97529.47948994365,98414.02167062402,97540.30224961117,97576.16022639531,99434.33119851969,98034.87131426597,99151.93912182438,98759.32571789381,97982.4038467436,97893.46977702303,97648.44079287311
11,96965.2698794173,96576.81573187544,97005.78641893453,96362.8634096728,96926.3973478975,97536.06108902479,95999.68743584777,97169.47989408819,96327.46527007925,96326.07088652805,97467.90410394737,96391.13525071641,97391.54895048968,96815.26164729884,96892.13215461784,96556.27567554454,96176.42422506357
12,94084.99191114672,94115.79357432495,94799.47554306067,94285.11941225106,94011.99851854332,94819.32014046724,93995.81138576388,94678.54874565949,94333.44666727626,94092.49527511268,94804.75711708068,94313.60598633543,94794.77802587008,94232.90369485042,94441.6441023308,94006.26028895528,94163.45328563717
13,91215.19596042212,91064.40500987926,92182.98239359687,91777.55459393297,91197.33627448278,92530.63615272463,91481.49936726246,92033.09058133443,92387.68401767174,91727.22979640651,92249.68901240948,91623.93155613885,92143.20625287805,91446.25954911477,92167.46300227186,91546.4680492809,91736.74217082327
14,93719.46427874772,93023.3357898843,94169.55790495497,93447.78933405664,93256.07500879878,94937.1594906002,93406.63093962058,94168.51532571437,94436.72031464515,94135.47647851729,94849.22111315765,93570.58566011552,94913.15503872412,93421.71639280932,94281.3247509752,93706.95523136844,94580.4072255345
15,95062.63819089292,94084.25491674656,95545.73866534526,94767.39310458598,94609.96740230618,96004.46978176959,94609.5453906075,95410.14985004356,95509.413279183,95524.36275045777,95681.79146243745,94377.16276996753,96181.66857730178,94782.00083932429,95076.25510407455,94507.84119012812,95578.2920297349
16,94881.97130687222,93664.0145416931,95134.57485420097,94730.68689574326,94226.86330186704,95903.09670528384,94681.2705190048,95191.00168451182,95250.26218635331,95574.14492602735,95670.57916117525,94134.2867173935,95970.66402620276,94746.41383593404,94836.80784156709,94089.51388898715,95150.68909368965
17,96128.50154969693,95810.44924672955,97061.36747992433,96378.75931965253,96056.4098334552,97401.83823278121,96357.06961379127,96672.4120933001,96927.3638806221,97250.21551253123,97372.95436652348,96402.3198809127,97378.38824257923,96323.39757249974,96700.16964592694,95931.33055397632,97188.81663233056
18,95982.0176542203,96024.50170654996,96849.85830321118,96430.85296692359,95913.66776536513,96864.06179420206,96406.59846719155,96464.86756939907,96681.25199739529,96728.1923142772,96835.17672763267,96459.00915267388,96839.13541990635,96379.09218052932,96373.02976802365,96207.01941386444,96862.68480326231
19,93908.65362913738,93944.89663712493,94613.51131814872,94330.63490664876,93904.8056800046,94632.35725967087,94359.39111313158,94861.76699245202,94504.70203128352,94471.5416327677,94619.33502908653,94351.5368975578,94604.07433709595,94285.65131422065,94124.97701186969,94248.1317806563,94632.1578323461
20,91424.55071110377,91463.70041861519,92152.87274805288,92012.9300785684,91664.08604824028,92167.3042568402,91989.26168873197,92814.1929860969,91892.17791059655,91939.2223346697,92140.73384938759,92040.33265669062,92142.46118932146,91963.24228064765,91564.04814857537,91827.90934278574,92167.73519395028
21,88788.65656082203,88851.34399913956,89239.85761167035,89341.53786658552,89090.8670636456,89368.82998168103,89215.40198626625,90040.41648077157,88987.2107393319,89251.32328338965,89136.28877873668,89153.73895104443,89758.77307915824,89634.31060012475,88855.56174765872,89090.89763642687,89138.87670940204
22,85835.69638618633,85847.23989669608,86179.95503490262,86321.5452864396,85962.99587292262,86270.69766873568,85947.4793653723,86383.02453207743,86009.02064991978,86202.74110585195,86003.4597536269,86111.18804467646,86803.26623800845,86419.25927187316,85843.86416331852,86003.8591558613,86034.7257054614
23,84870.67288250942,84507.88517707083,84892.347716571,85027.71421514831,84955.98317140868,84689.33024998473,84823.21593363458,84989.91879105904,84807.54490211052,84635.25920416167,85065.97661729928,84911.3247223055,85044.13480432861,85086.16815620134,84437.90476327902,84761.23964933587,84760.96228687544
24,83136.06870428682,82444.24296464388,82798.95866558046,82846.13229497259,82582.53301827259,82273.00700307325,82769.80465493597,82970.43043278897,82706.74576885167,82708.78815706958,82795.7262400764,82865.65504178136,82798.90330703344,82766.56815081883,82530.51631462549,82768.04575657999,82827.30330349946
25,77109.07053003261,76862.57936795663,76884.65593743099,77772.09816608769,77046.16664226822,77226.6757001719,77271.0730565155,76915.68853578786,77251.78549758616,77203.54157680648,77220.32004366258,77596.6301212326,77033.84981158606,77108.56401114655,77406.13742529314,77671.61437454031,77919.85943125364
26,70984.58623023832,71459.27979727299,71900.53957148457,74162.35799732605,73879.87975929937,72643.89631269692,74099.89666261271,73028.00043396825,73778.64453911303,74180.51292632798,73191.10484026036,73100.0802780221,72845.700007292,71420.08821578059,74214.25172158239,73406.4368427753,74641.88151008594
27,69400.16132767413,70462.90819374603,71341.78139911973,73124.41732040262,73174.84193958959,71919.86604830097,72913.78600269808,72132.48010075856,72627.90067571624,73641.23627942444,71599.18728543576,71621.68682432346,71831.96728515586,69834.88092873213,72992.90034522992,72252.58029201995,73236.48427792471
28,67686.50507627278,69011.11237715399,69942.66318772164,72263.99471690698,72291.73901245902,70259.10530828884,71900.38162563347,70626.39035479997,72167.61158639017,73219.08746384605,70792.40022449024,70759.653228585,70991.021758981,68436.59996599096,72094.25953479839,70948.21145308643,72343.63625473579
29,68037.56581754223,69147.09222056194,70040.58502139186,72622.11931102409,72536.93332608264,70975.01191903341,72566.88975074729,71034.52810451458,72587.49014678998,73589.01409519059,71665.39961360117,71474.13343574318,71654.13458542948,68457.89911256592,72432.09878765125,71510.68929720108,73055.5332522631
30,69914.09450402866,70993.51132515275,71637.7639306857,74982.48691297891,74700.19340321247,73190.95655853183,74923.16077579914,73228.21149080251,74763.76973544704,75354.39053836023,73837.94593780239,73804.81848135646,73666.32710235796,69837.02597515963,74430.24897373881,73726.13083498397,74969.68479736688
31,71685.16804131094,72923.6934397134,73672.11908281379,78554.9788146257,77944.80861648566,75669.07169875017,78945.76973247637,75396.19632723538,78440.82960003139,78550.33835916151,76462.82394997159,76386.57232792438,76079.54964227542,71219.12420486304,77721.62606677592,76215.2956973775,78742.08520863084
32,72035.03798115843,75118.16274526938,75461.72472320622,82562.06965494293,81515.89058917022,78564.02980988847,82990.05761165047,77892.62057287287,82176.96518832922,82393.15265095003,80277.4504829086,79704.640186124,78981.81950265006,71491.76322893902,81184.27940829766,79945.08748313757,82711.21031055754
33,71331.04785338334,74973.24106237978,75955.11728406315,87751.66776520682,86380.78411902182,80915.7555157465,88635.2551399946,79384.25382084283,86524.2187945116,86914.08457094412,83998.98079169577,83014.34751088277,81792.57067312024,70559.553443565,85221.64839111122,82928.98651270734,87708.34245697827
