,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2020-01-01,"62,390","60,010","57,730","56,440","55,940","56,140","56,430","55,420","54,420","53,730","53,530","53,340","53,150","52,750","53,150","54,450","55,930","58,480","59,860","59,970","59,470","59,180","59,890","60,690"
2020-01-02,"56,730","54,860","53,680","53,390","54,090","55,770","59,040","64,600","73,080","74,990","73,590","71,900","67,730","70,930","72,120","71,710","73,180","72,630","70,710","68,920","66,930","65,260","64,280","65,490"
2020-01-03,"61,440","59,070","57,600","57,010","57,510","58,990","61,860","66,410","73,750","74,850","72,470","70,190","65,520","68,210","69,210","70,010","71,680","70,920","68,800","67,120","65,540","63,760","62,880","64,980"
2020-01-04,"64,330","60,970","59,100","58,310","58,300","59,080","60,750","62,130","64,220","62,860","62,160","60,370","56,800","57,500","58,410","59,600","61,260","62,580","62,930","62,330","61,550","60,470","60,690","62,800"
2020-01-05,"58,710","55,460","53,410","52,530","52,630","53,320","54,100","54,080","54,540","54,710","55,790","55,290","54,100","54,310","54,410","55,020","56,600","59,260","60,340","59,960","59,370","58,600","59,010","59,220"
2020-01-06,"54,470","52,410","51,020","50,730","51,430","53,420","57,080","63,440","73,010","75,230","73,630","71,740","66,970","70,670","71,960","71,550","73,120","72,570","70,440","68,350","66,070","64,200","63,020","64,430"
2020-01-07,"62,020","59,650","58,070","57,580","57,980","59,460","62,340","66,900","74,340","75,440","72,960","70,780","66,010","68,600","69,800","70,590","72,270","71,620","69,500","67,810","66,240","64,160","63,370","65,470"
2020-01-08,"61,940","59,480","57,810","57,220","57,720","59,300","62,370","67,310","75,150","76,340","73,760","71,280","66,330","69,220","70,310","71,210","72,970","72,210","69,890","68,010","66,440","64,460","63,570","65,680"
2020-01-09,"61,930","59,470","57,800","57,210","57,610","58,690","61,660","65,910","73,750","76,630","76,250","75,270","71,200","74,000","74,300","73,690","74,160","72,220","69,890","67,900","65,510","63,640","62,650","64,250"
2020-01-10,"60,450","57,980","56,600","56,210","57,000","58,380","61,150","65,410","72,740","75,420","75,460","74,770","70,900","73,980","74,280","73,770","74,140","72,390","70,360","68,570","66,490","64,620","63,730","65,250"
2020-01-11,"62,970","59,810","57,930","57,150","57,140","57,920","59,200","60,580","62,680","62,130","61,450","59,170","55,190","55,400","56,090","57,280","59,340","60,840","61,580","61,080","60,290","59,320","59,630","61,740"
2020-01-12,"60,160","57,610","56,050","55,360","55,460","56,140","56,810","56,990","56,910","55,370","55,200","53,920","52,820","53,310","54,290","55,670","57,430","60,140","61,580","61,390","60,910","60,340","60,670","60,780"
2020-01-13,"55,290","52,930","51,560","51,270","51,770","53,750","57,610","63,660","73,310","76,790","76,510","75,420","71,650","75,030","75,810","75,200","75,880","74,060","71,450","69,070","66,690","64,830","63,450","65,070"
2020-01-14,"62,990","60,330","58,870","58,280","58,780","60,350","63,410","68,160","75,410","76,750","75,000","72,830","67,660","70,550","71,540","72,120","73,960","73,490","72,050","70,170","68,290","66,330","65,450","66,960"
