date,seoul,busan,daegu,incheon,gwangju,daejeon,ulsan,sejong,gyeonggi,gangwon,chungbuk,chungnam,jeonbuk,jeonnam,gyeongbuk,gyeongnam,jeju
2030-01-03 00:00,78913.125,78913.125,78713.555,78913.125,78913.125,78913.125,78913.125,78713.555,78913.125,78713.555,78913.125,78913.125,78713.555,78713.555,78913.125,78713.555,78913.125
2030-01-03 01:00,75984.586,75984.586,75740.46,75984.586,75984.586,75984.586,75984.586,75740.46,75984.586,75740.46,75984.586,75984.586,75740.46,75740.46,75984.586,75740.46,75984.586
2030-01-03 02:00,74582.16,74582.16,74232.69,74582.16,74582.16,74582.16,74582.16,74232.69,74582.16,74232.69,74582.16,74582.16,74232.69,74232.69,74582.16,74232.69,74582.16
2030-01-03 03:00,73812.445,73812.445,73536.3,73812.445,73812.445,73812.445,73812.445,73536.3,73812.445,73536.3,73812.445,73812.445,73536.3,73536.3,73812.445,73536.3,73812.445
2030-01-03 04:00,74443.58,74443.58,74167.45,74443.58,74443.58,74443.58,74443.58,74167.45,74443.58,74167.45,74443.58,74443.58,74167.45,74167.45,74443.58,74167.45,74443.58
2030-01-03 05:00,76524.984,76524.984,76271.87,76524.984,76524.984,76524.984,76524.984,76271.87,76524.984,76271.87,76524.984,76524.984,76271.87,76271.87,76524.984,76271.87,76524.984
2030-01-03 06:00,79448.57,79448.57,79273.586,79448.57,79448.57,79448.57,79448.57,79273.586,79448.57,79273.586,79448.57,79448.57,79273.586,79273.586,79448.57,79273.586,79448.57
2030-01-03 07:00,86626.47,86626.47,86424.46,86626.47,86626.47,86626.47,86626.47,86424.46,86626.47,86424.46,86626.47,86626.47,86424.46,86424.46,86626.47,86424.46,86626.47
2030-01-03 08:00,97556.93,97556.93,97355.15,97556.93,97556.93,97556.93,97556.93,97355.15,97556.93,97355.15,97556.93,97556.93,97355.15,97355.15,97556.93,97355.15,97556.93
2030-01-03 09:00,99184.44,99184.44,98959.22,99184.44,99184.44,99184.44,99184.44,98959.22,99184.44,98959.22,99184.44,99184.44,98959.22,98959.22,99184.44,98959.22,99184.44
2030-01-03 10:00,97218.92,97218.92,96990.4,97218.92,97218.92,97218.92,97218.92,96990.4,97218.92,96990.4,97218.92,97218.92,96990.4,96990.4,97218.92,96990.4,97218.92
2030-01-03 11:00,96336.45,96336.45,96013.25,96336.45,96336.45,96336.45,96336.45,96013.25,96336.45,96013.25,96336.45,96336.45,96013.25,96013.25,96336.45,96013.25,96336.45
2030-01-03 12:00,93477.42,93477.42,92829.97,93477.42,93477.42,93477.42,93477.42,92829.97,93477.42,92829.97,93477.42,93477.42,92829.97,92829.97,93477.42,92829.97,93477.42
2030-01-03 13:00,96627.78,96627.78,95997.195,96627.78,96627.78,96627.78,96627.78,95997.195,96627.78,95997.195,96627.78,96627.78,95997.195,95997.195,96627.78,95997.195,96627.78
2030-01-03 14:00,96983.88,96983.88,96402.086,96983.88,96983.88,96983.88,96983.88,96402.086,96983.88,96402.086,96983.88,96983.88,96402.086,96402.086,96983.88,96402.086,96983.88
2030-01-03 15:00,96378.99,96378.99,95927.77,96378.99,96378.99,96378.99,96378.99,95927.77,96378.99,95927.77,96378.99,96378.99,95927.77,95927.77,96378.99,95927.77,96378.99
2030-01-03 16:00,98906.195,98906.195,98390.06,98906.195,98906.195,98906.195,98906.195,98390.06,98906.195,98390.06,98906.195,98906.195,98390.06,98390.06,98906.195,98390.06,98906.195
2030-01-03 17:00,98749.445,98749.445,98103.89,98749.445,98749.445,98749.445,98749.445,98103.89,98749.445,98103.89,98749.445,98749.445,98103.89,98103.89,98749.445,98103.89,98749.445
2030-01-03 18:00,96570.08,96570.08,95965.055,96570.08,96570.08,96570.08,96570.08,95965.055,96570.08,95965.055,96570.08,96570.08,95965.055,95965.055,96570.08,95965.055,96570.08
2030-01-03 19:00,94401.25,94401.25,93557.92,94401.25,94401.25,94401.25,94401.25,93557.92,94401.25,93557.92,94401.25,94401.25,93557.92,93557.92,94401.25,93557.92,94401.25
2030-01-03 20:00,91359.24,91359.24,90555.9,91359.24,91359.24,91359.24,91359.24,90555.9,91359.24,90555.9,91359.24,91359.24,90555.9,90555.9,91359.24,90555.9,91359.24
2030-01-03 21:00,87696.33,87696.33,87062.59,87696.33,87696.33,87696.33,87696.33,87062.59,87696.33,87062.59,87696.33,87696.33,87062.59,87062.59,87696.33,87062.59,87696.33
2030-01-03 22:00,83851.89,83851.89,83620.484,83851.89,83851.89,83851.89,83851.89,83620.484,83851.89,83620.484,83851.89,83851.89,83620.484,83620.484,83851.89,83620.484,83851.89
