,seoul,busan,daegu,incheon,gwangju,daejeon,ulsan,sejong,gyeonggi,gangwon,chungbuk,chungnam,jeonbuk,jeonnam,gyeongbuk,gyeongnam,jeju
0,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train
1,77439.6,77762.77,77853.08,79081.33,77860.35,78233.195,76645.14,77043.164,77302.67,77620.445,77421.24,76671.414,75526.75,77526.58,77211.72,77777.55,78313.17
2,77145.82,76763.67,75851.91,77268.62,75423.86,76263.15,74202.984,74412.664,76211.5,76942.586,76357.805,75455.48,74212.04,76222.79,74843.33,75138.914,75787.31
3,75834.13,73692.49,74804.6,75529.03,74042.5,74797.234,72618.36,73522.92,74060.91,75785.805,74039.555,73588.945,72287.88,75604.61,73367.15,74370.75,74204.87
4,70859.83,69049.72,71071.336,71141.16,70379.52,71441.79,70221.55,70511.64,70372.68,72153.33,70410.09,70543.79,67964.01,71131.73,69463.555,71544.45,70524.85
5,73913.39,71259.82,71827.92,73334.29,72423.96,73361.76,70791.914,71989.61,72441.4,74142.055,72617.1,72481.164,70504.49,72411.5,71305.28,73100.016,71360.016
6,74597.98,72633.516,74468.31,74504.56,74590.23,75792.305,72967.88,74086.39,73917.04,75470.78,74889.32,74937.1,72636.74,74133.625,73061.86,74716.51,73876.08
7,79704.23,77084.94,78460.586,79146.59,78604.72,79737.09,77736.91,78434.79,78815.0,79600.4,79352.09,78062.04,76700.94,78143.37,76803.07,79263.375,78916.836
8,83876.984,84020.125,82290.836,84464.375,83597.164,84170.336,82251.914,82546.305,84779.92,83609.47,83599.69,82182.76,82251.29,81977.35,80776.375,83699.484,83703.47
9,90475.75,91738.16,89528.695,90898.11,91155.875,91423.64,87886.06,89638.45,91730.39,90844.5,90575.695,88992.125,90268.11,89401.51,88106.82,90890.7,90850.36
10,98741.805,100200.51,99623.77,98591.836,100718.125,100952.02,99400.984,99145.71,99417.62,99739.4,99470.98,98174.47,100264.96,98879.84,97451.36,100122.81,100137.04
11,97003.1,97861.04,98827.95,97932.695,98979.695,99284.69,99185.88,97582.98,98052.44,98055.65,97915.84,97138.09,97762.94,96869.88,96017.83,98914.19,99515.69
12,94950.32,96007.125,96363.87,96403.52,97113.56,96655.54,95008.625,95111.87,96947.35,96040.41,95699.875,95397.61,96201.73,94852.99,94710.914,95688.98,96296.53
13,90387.586,91973.26,92856.88,93207.45,93584.53,93250.75,91669.664,91581.96,93075.01,92897.48,93038.36,92850.89,92871.22,90867.61,91878.53,92030.68,92690.625
14,93187.03,94697.945,94691.74,95706.445,95098.54,94613.76,91826.95,93110.84,95558.96,94802.16,95192.64,95451.836,95713.38,94121.35,94870.48,93620.49,95168.24
15,95463.875,97460.98,97739.72,98866.56,98488.54,98322.05,96358.41,95693.89,98245.22,96952.695,98081.7,97799.625,98628.664,96819.08,97672.875,97808.49,100121.86
