,seoul,busan,daegu,incheon,gwangju,daejeon,ulsan,sejong,gyeonggi,gangwon,chungbuk,chungnam,jeonbuk,jeonnam,gyeongbuk,gyeongnam,jeju
0,test,test,test,test,test,test,test,test,test,test,test,test,test,test,test,test,test
1,66141.43000786178,65211.85978175629,66066.60934507858,69895.54392202933,57408.39473028211,59657.83255397661,71835.41683701209,68478.17649309215,69583.71288471142,66524.36000733881,64138.04610870917,73809.51781179848,71704.24060512317,80324.33566848513,63744.80706188572,69442.48152321856,74544.04755642256
2,69054.61084202245,58628.79483798903,63445.06727212439,61005.65385673162,48827.08012915851,68375.87100064763,60462.93747675281,63149.63541224369,60988.460752534826,63221.21069060592,50216.34703454531,54648.21633342818,62890.384968616636,61032.49669753674,51319.56511531559,72067.46100673192,63969.745163737825
3,69054.59317145827,58628.58846274194,63444.99031472059,61005.51554433956,48826.218636031714,68375.85074168291,60462.78238103795,63149.54181320287,60988.327187640134,63221.11715560133,50215.47536309813,54647.696385494295,62890.2840222215,61032.34569857791,51318.82556911078,72067.46636301934,63969.653893688315
4,69054.57550661266,58628.3822536322,63444.913395125266,61005.377321558066,48825.35877094939,68375.83048937573,60462.62739063517,63149.44826383017,60988.193709016385,63221.02367003456,50214.60528999308,54647.177126138806,62890.183130316895,61032.19480112908,51318.08728412424,72067.47171767689,63969.562671573025
5,69054.55784748273,58628.17621045907,63444.83651331071,61005.239188300024,48824.500529298,68375.81024372255,60462.47250543705,63149.35476408609,60988.060316580006,63220.930233866675,50213.73681083571,54646.65855399375,62890.082292858795,61032.04400508812,51317.35025713054,72067.47707070521,63969.47149735402
6,69054.5401940657,58627.97033302223,63444.75966924896,61005.101144478445,48823.64390648153,68375.79000472026,60462.31772533646,63149.26131393108,60987.927010247426,63220.83684705845,50212.86992124777,54646.14066769499,62889.98150980302,61031.893310352454,51316.61448491523,72067.48242210514,63969.38037099379
7,69054.52254635887,58627.764621121416,63444.68286291225,61004.96319000645,48822.78889792173,68375.76977236551,60462.16305022646,63149.16791332569,60987.79378993545,63220.74350957059,50212.00461686647,54645.623465881916,62889.88078110556,61031.742716820096,51315.87996427473,72067.48777187748,63969.28929245451
8,69054.50490435939,58627.55907455705,63444.60609427269,61004.82532479714,48821.93549905691,68375.749546655,60462.00848000005,63149.07456223041,60987.66065556054,63220.65022136423,50211.140893345626,54645.10694719759,62889.78010672251,61031.592224389016,51315.14669201644,72067.49312002279,63969.198261698526
9,69054.48726806458,58627.35369312966,63444.52936330266,61004.68754876396,48821.08370534316,68375.72932758556,60461.85401455052,63148.981260606044,60987.527607039636,63220.556982400216,50210.27874635451,54644.59111028846,62889.67948660979,61031.441832957484,51314.4146649584,72067.49846654195,63969.10727868811
10,69054.46963747167,58627.14847664027,63444.452669974344,61004.549861820284,48820.23351225344,68375.70911515389,60461.69965377129,63148.88800841303,60987.394644289394,63220.46379263954,50209.41817157825,54644.07595380477,62889.57892072352,61031.29154242353,51313.683879929784,72067.50381143561,63969.016343385956
11,69054.45201257769,58626.943424889825,63444.37601425995,61004.41226387963,48819.38491527748,68375.6889093566,60461.545397555994,63148.79480561222,60987.26176722713,63220.37065204313,50208.559164718,54643.56147640025,62889.4784090198,61031.141352685736,51312.95433377032,72067.50915470465,63968.92545575431
12,69054.43439338024,58626.73853768001,63444.299396131966,61004.27475485557,48818.537909922336,68375.66871019058,60461.391245798164,63148.70165216425,60987.12897576971,63220.2775605723,50207.701721490215,54643.04767673198,62889.377951454946,61030.99126364253,51312.226023330426,72067.51449634977,63968.83461575571
13,69054.4167798763,58626.533814812676,63444.222815562636,61004.13733466205,48817.692491711685,68375.64851765247,60461.23719839164,63148.608548029944,60986.99626983463,63220.18451818798,50206.84583762709,54642.53455346092,62889.27754798514,61030.841275192644,51311.498945471365,72067.51983637149,63968.743823352765
