,seoul,busan,daegu,incheon,gwangju,daejeon,ulsan,sejong,gyeonggi,gangwon,chungbuk,chungnam,jeonbuk,jeonnam,gyeongbuk,gyeongnam,jeju
0,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train
1,75605.17,77571.67,80229.68,80459.17,80274.92,76672.23,78722.555,80572.234,79613.8,79049.02,75446.74,78903.664,78781.6,78162.875,79415.66,77177.97,77179.836
2,73716.234,73842.77,74124.625,73609.27,75776.91,74649.414,75103.26,76057.555,74552.29,74056.5,72510.05,75464.1,74771.28,74847.47,75813.62,74469.22,74686.23
3,73496.77,72559.08,72730.3,71359.92,73348.27,73316.914,73379.22,72852.66,73640.805,72228.266,72120.29,72906.555,73415.45,74003.336,74226.39,73429.35,73696.46
4,73393.6,71923.75,72932.6,73857.94,72354.97,72643.05,73016.46,71391.89,74084.0,72746.57,72579.016,71384.734,72584.23,73689.68,73111.08,72712.29,73234.86
5,74328.125,73243.2,73602.95,74067.73,72674.234,72888.84,73311.88,71343.695,74167.4,73986.79,73772.586,71555.484,72540.57,74013.56,72666.016,73067.04,73240.25
6,76357.52,76213.445,75814.2,75998.62,74881.2,74855.414,75073.4,73673.65,75798.766,76063.0,76040.914,74260.11,74616.664,75900.664,74597.62,75367.63,75037.6
7,79898.1,80198.25,79838.62,80279.086,79162.96,79167.55,79312.5,78664.914,79798.58,79683.89,79969.15,79411.23,79571.83,79890.15,79148.586,79840.72,79549.766
8,84928.48,84965.3,85000.14,85724.46,84974.08,85086.57,85400.17,84493.72,85033.33,84761.71,85122.56,85920.86,86041.914,85183.25,84818.41,85167.664,85528.51
9,96481.88,94708.52,95445.59,94255.05,95321.84,95347.43,96681.75,93584.09,97740.79,96428.3,93754.97,94850.234,95022.02,92145.01,95147.39,94049.984,95905.08
10,99871.52,98432.945,97948.234,98581.87,98679.68,98690.45,101657.88,100354.63,99321.95,99945.195,99332.54,99212.7,98783.11,98066.96,98338.414,99928.58,98349.13
11,97814.86,98675.84,98114.51,98402.46,97854.08,97266.21,98261.41,97265.62,97612.516,96495.695,99147.445,97548.23,97462.37,97936.984,98013.2,98377.2,96838.47
12,96618.0,96887.95,95632.02,94990.39,96420.695,96200.625,94741.06,93333.734,95001.71,94808.51,97223.94,93959.38,96359.3,95581.516,96250.77,97440.12,95725.305
13,92207.59,94287.65,92253.164,91995.15,92136.664,91929.64,91560.98,92082.7,91140.46,90000.25,94120.234,90399.64,92498.46,92170.914,93088.57,93302.836,91661.54
14,93932.64,95995.65,94911.06,96334.75,96273.69,96252.06,94409.15,94327.234,95310.875,92570.47,95127.79,93679.07,97276.31,95969.33,95694.805,95763.52,95237.05
15,96345.086,97156.125,95672.95,97704.7,97697.055,97680.195,96913.48,96499.234,96335.4,94940.93,96157.72,95649.37,97028.75,95820.945,96884.01,97538.85,96887.734
16,96588.18,98456.79,96231.016,97773.31,98171.41,98710.266,98537.47,96738.99,96094.15,95560.55,97553.68,96576.96,97431.734,96065.195,97628.79,98343.23,98205.39
17,95674.04,98535.43,96852.89,97482.19,97296.484,97650.18,98195.7,95295.35,96575.02,94701.75,97586.05,96135.25,97951.46,95226.31,97569.016,97724.16,97544.016
18,96362.14,97809.0,96854.46,96988.83,97592.66,97454.86,97745.9,96287.14,96871.18,95681.04,98067.555,96350.28,98494.89,96696.266,98492.81,98441.07,96343.6
19,95088.83,95957.14,95348.81,95676.7,96297.3,95927.734,96212.56,97152.75,94575.37,94763.875,96853.06,95879.12,96500.96,96266.29,96881.11,96861.89,93853.945
20,92270.56,92773.36,92673.5,93032.54,93233.43,93434.17,93050.68,94757.3,91430.29,91516.21,93752.81,93744.586,93207.62,93068.37,93648.52,94243.52,91598.61
21,89672.48,89730.44,90497.08,90211.85,90088.93,90374.78,89723.914,90752.375,88513.64,88663.414,90510.75,91124.3,90226.195,90381.53,90489.2,90483.48,89326.086
22,86131.08,86996.93,87497.984,87289.86,87229.945,87024.71,87055.11,87468.984,86045.0,86346.086,87561.74,88845.92,87862.85,87175.23,87739.87,87740.74,85496.86
23,85333.164,86417.09,84727.36,84981.37,85143.18,87008.05,84880.58,85174.8,84265.39,84308.55,85217.66,86104.74,86899.64,85577.74,85255.27,86875.13,85627.484
24,84656.734,84189.12,84630.17,83128.96,83003.27,80370.195,81357.47,82379.445,81958.195,81429.2,84009.74,81427.93,84821.055,84864.71,82633.37,82349.0,81745.914
25,75147.77,76980.34,80489.81,79404.69,80181.734,76386.195,78284.67,80871.26,78542.92,78808.56,75733.6,78101.88,78667.664,78377.97,78975.04,76726.97,76937.6
26,71047.37,73163.016,72817.375,71619.42,74883.46,72418.164,73722.72,74271.06,73928.734,70974.66,70050.66,73870.125,72692.0,72427.94,74893.805,72254.984,72387.69
27,70483.69,72252.18,71163.62,70821.82,72660.18,71601.37,72127.57,71314.77,73786.734,69433.85,69632.78,71563.57,71394.195,72407.266,73490.086,71509.09,71978.28
28,69041.95,71938.4,70724.81,71893.29,71537.45,70451.875,71136.12,69015.414,73655.59,68189.0,69491.445,69822.39,70157.67,71267.87,72314.74,70417.69,70908.65
29,70561.62,73436.78,72154.19,72725.81,72191.37,71512.836,71293.35,69467.914,73905.54,70538.95,71589.445,70646.63,70629.77,72743.89,72225.37,71315.67,71478.14
30,72593.78,76183.914,74511.22,74785.6,74545.08,73830.78,73163.734,72454.94,75413.74,72898.36,74615.17,73698.29,73486.35,74438.97,74410.24,74256.04,73821.66
31,73096.76,79635.36,76604.28,76986.77,78153.195,75813.23,76070.96,75737.04,78967.51,73801.05,76385.59,77094.734,76882.03,76337.2,78242.48,76920.39,76060.81
32,73178.75,81893.91,78108.695,78720.89,80559.14,77211.45,78621.29,77863.664,81253.15,73860.53,77086.18,79705.1,78764.51,78063.66,80643.875,78039.39,77624.55
33,69989.18,86145.22,79837.41,79005.46,83506.8,77228.12,79628.77,78135.01,86726.37,71643.32,75830.74,80249.1,77762.03,78824.11,83778.445,77438.836,77738.51
34,59609.918,85720.91,73517.03,72188.76,80632.04,70155.1,73090.66,72197.59,84078.25,60952.758,68347.21,73891.43,71174.12,73555.87,80218.57,71459.45,70912.63
35,52600.812,77978.75,62520.586,58035.625,70712.305,58902.953,56459.305,59157.98,74715.39,51293.438,57408.797,60190.1,60019.582,62741.45,71475.24,59351.293,58426.61
36,54366.227,73561.23,62777.816,59645.523,68497.71,60478.457,61436.45,60241.88,72634.07,53904.023,58180.31,61971.816,61418.13,62056.805,70183.7,58608.465,60154.246
37,52482.582,73259.414,59784.49,58275.68,66388.0,57703.117,56660.926,56647.062,71304.3,51581.438,55453.363,59680.76,58214.125,59780.96,68265.05,57280.566,57826.742
38,53179.312,70914.28,57987.004,55854.836,63692.688,55895.344,54894.555,55253.32,69928.83,52496.938,54950.71,57994.094,56619.266,57819.98,63793.445,56162.594,57010.9
39,53819.457,68172.414,58177.668,56600.92,63424.508,55684.02,55096.773,55047.047,66025.82,52820.715,54675.523,57349.402,56525.246,58542.17,62007.92,56004.566,57925.207
40,54963.348,68233.86,59838.49,58045.81,65019.18,57380.883,57411.64,56749.21,66281.28,53513.324,55857.95,58482.645,58241.605,60448.43,63519.777,57743.855,59469.188
41,56869.97,72591.17,63471.04,60955.16,68583.6,60803.996,62038.926,61017.746,70744.4,55675.605,59473.39,61776.008,62013.56,63469.58,67466.99,61355.293,62587.223
42,58875.09,79843.94,66092.27,62752.7,73072.46,62842.867,65129.785,63732.2,77071.266,58129.48,61619.457,64787.18,64644.336,65968.7,72686.4,63210.242,64761.312
43,63819.688,83379.08,72781.52,69154.76,77852.94,69255.48,71102.54,69050.336,82278.37,63292.67,68700.96,71724.586,70878.44,72524.51,79561.32,69961.57,71115.84
44,66723.49,78210.48,71796.71,70834.24,73811.87,69601.805,69057.51,69065.13,76235.516,65787.19,69145.82,69646.05,70602.61,71437.98,74765.89,68672.836,70511.73
45,61099.992,73221.69,66920.74,62720.504,71405.29,64579.246,63955.6,64182.535,72439.84,61750.03,63353.27,64764.414,65667.836,66353.875,69932.87,64945.566,65264.332
46,60113.07,73474.7,64573.727,61357.7,69754.1,63779.54,63300.07,62568.555,69999.22,59378.082,63450.59,64043.414,63815.414,65239.684,68604.06,64832.145,64265.773
47,62257.074,77827.836,66827.445,64859.68,73087.836,66635.46,65962.06,65164.24,72919.14,61479.66,64173.72,67404.83,67144.82,69032.58,71068.625,66804.68,67793.83
48,66838.48,76436.8,71958.4,71918.37,76845.41,72876.97,71430.18,70954.1,77518.016,67911.18,70276.96,73071.74,72578.93,73216.38,76787.81,71532.66,72604.68
49,72443.31,78213.23,76889.94,76152.09,80121.59,77663.97,75784.6,77020.19,80528.24,72694.67,76189.42,77889.74,76884.26,77533.19,80085.99,75340.83,75625.11
50,76287.99,72566.84,73322.46,76475.78,76560.66,73428.66,77037.48,79139.07,75889.35,77750.05,79257.17,76325.266,78553.945,72997.42,74518.94,78613.03,71236.42
51,72245.516,70592.87,70574.66,74045.63,73264.07,70848.664,73998.234,75042.305,72930.36,74726.4,74148.22,71832.64,73689.164,70638.94,72747.01,73483.97,70192.07
52,69706.125,67537.3,68291.33,72806.73,72754.54,69614.63,72223.2,72505.71,71991.59,71551.72,70730.96,69034.3,72171.89,67857.78,71719.45,71539.58,68734.55
53,71286.42,66613.62,67925.62,73011.62,72858.414,72529.54,73030.03,73077.01,72169.83,72171.73,71821.484,70556.305,73807.75,68121.71,71067.836,72100.78,69420.66
54,72969.73,69230.83,68601.63,72810.93,72914.36,73071.89,73574.43,73630.99,73074.31,74089.62,74361.766,71486.78,74194.016,68866.12,70967.46,74839.0,69553.44
55,74614.65,71930.91,69614.93,73338.01,74718.54,72752.19,73966.86,74347.15,75118.4,75760.234,76801.56,72218.66,76076.64,69849.49,71029.83,75963.26,69987.336
56,75987.58,70348.805,68901.57,75832.77,77653.42,72747.55,75609.45,75298.51,77095.09,77004.87,78667.305,73482.04,78608.586,70322.1,72348.38,78349.97,69833.83
