,seoul,busan,daegu,incheon,gwangju,daejeon,ulsan,sejong,gyeonggi,gangwon,chungbuk,chungnam,jeonbuk,jeonnam,gyeongbuk,gyeongnam,jeju
0,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train
1,79081.05,76188.02,77324.84,77714.9,78230.5,77786.67,77557.055,77565.54,78536.945,78798.15,78082.33,77844.22,77446.57,78342.0,76867.06,77434.11,78497.266
2,76426.31,75348.39,75769.625,77154.91,75677.31,75470.09,75779.6,76036.75,76206.59,76633.63,76097.945,76672.4,75851.555,76401.125,77363.6,75338.03,75347.33
3,74905.73,74739.96,74686.58,76487.28,74157.016,74245.92,75223.65,74942.31,74812.266,75244.67,75678.125,75257.28,74747.516,74987.445,77532.9,73875.53,73815.016
4,71379.12,68934.31,69378.766,70446.87,71459.016,70096.23,70237.484,71092.85,69211.56,70765.83,69673.67,69072.77,71297.695,70637.3,71273.39,69168.234,70495.43
5,73707.1,71748.164,72235.53,72338.55,73561.14,71875.695,72976.78,72676.8,72408.11,73292.09,72105.13,71651.26,71937.26,73648.984,71642.82,71307.28,72217.62
6,74859.695,72899.6,73453.78,74584.34,74836.73,73089.26,74602.055,75160.77,72939.516,74117.42,74322.83,72570.87,74912.734,74341.375,75541.79,72807.59,74164.836
7,78975.3,78554.45,78914.39,79720.914,78170.93,77436.266,80048.01,79697.03,78777.73,79023.63,79853.77,78481.83,78445.086,79056.15,79720.61,77929.91,78031.805
8,83114.54,83941.18,84252.734,84172.36,82864.93,82299.984,84129.8,84523.516,83982.8,83300.16,83787.38,83085.875,83773.42,84671.945,84967.84,82691.01,82417.39
9,89591.01,90564.586,91363.96,90924.84,89809.12,89516.58,90820.99,91156.45,90724.57,91269.69,90642.5,89827.44,91237.49,93090.5,91814.836,89250.414,89368.78
10,98520.26,98726.13,98631.97,98946.6,98929.16,97403.56,99619.96,99543.56,99460.836,100171.73,100121.29,97902.516,98731.44,99553.64,98737.74,97827.65,98753.05
11,97511.83,99010.14,97852.91,98623.74,96921.89,96430.63,98457.71,98780.59,98440.95,98470.11,98464.74,97712.13,98199.484,99224.7,98523.94,97341.42,96986.6
12,94928.15,95723.43,95464.65,96277.18,94898.25,95382.98,95708.04,96160.1,95418.26,95415.41,94944.33,94555.13,95606.44,97310.08,95415.56,94584.945,94401.18
13,92036.64,91148.3,92072.516,91083.87,92130.37,91562.85,91418.63,92749.47,92197.11,91881.414,90978.22,90556.14,91397.484,93201.05,89544.58,91418.086,90874.84
14,94136.086,94835.57,95463.3,95783.945,93713.73,94265.62,94550.016,95702.14,95368.17,94493.2,94318.63,94351.62,94934.7,96378.72,95490.7,93782.1,93201.2
15,96917.75,97924.4,97898.04,98246.33,97404.87,96741.73,97348.195,98386.805,98050.37,97052.29,98290.27,96865.8,97875.46,97834.75,97083.1,96772.4,96989.95
16,95251.12,93971.78,94350.445,94311.09,94436.53,92837.35,94595.77,95651.26,94859.23,94290.67,93536.08,92831.3,94685.66,94624.664,92336.555,94040.15,94563.5
17,94838.62,96186.0,95306.68,94803.34,95023.04,93809.84,95165.51,95850.09,95482.61,94396.33,95114.75,93261.086,95893.516,97024.9,93188.55,94880.77,94734.14
18,97966.6,97243.39,97880.195,97814.06,98105.83,95982.305,97935.33,98475.336,98224.125,98257.555,98013.734,96375.01,97586.65,97185.44,97182.734,97313.13,98512.01
19,96247.43,97008.266,96157.484,96056.08,96018.34,96228.25,95410.78,97355.82,96827.63,97284.21,97837.24,97418.8,96697.58,96116.664,97325.36,96231.04,96644.73
20,90320.74,89653.39,89879.84,88747.69,88912.77,88794.33,88518.09,90533.95,89844.54,90733.48,90004.305,89695.89,89751.56,89452.85,88624.23,90024.47,89577.93
21,90269.03,90416.08,90701.61,90031.11,90138.79,90336.1,89765.086,90749.195,90588.055,90842.96,91339.92,90372.42,90590.66,91014.05,89971.984,90255.52,90280.805
22,86661.79,85232.36,86058.92,86353.87,86612.45,86389.32,85620.98,87098.26,86001.55,86806.555,86945.164,86864.45,86810.164,86078.12,87118.67,86034.3,86556.43
23,85964.37,85338.68,85741.88,86624.88,85170.1,85140.266,85138.484,86064.68,86593.14,86407.086,87459.25,87354.75,85814.57,85522.46,87493.79,85324.27,85732.81
24,81274.07,80122.12,80721.24,81740.07,80186.9,80450.01,79877.57,81133.24,81431.625,81256.305,81669.06,81922.67,81755.0,81680.23,82760.48,80544.55,80787.4
25,78959.32,75904.49,77224.93,77494.6,78130.086,77658.45,77315.44,77572.48,78289.78,78755.9,77530.516,77673.91,77398.46,78300.01,76599.78,77332.19,78376.28
26,72878.47,71606.33,74400.25,74575.195,73922.61,73830.49,70069.266,74665.55,72732.805,74862.4,70186.836,75535.84,74927.19,70789.055,71050.14,72346.16,70744.234
27,73436.28,73289.22,74475.9,75412.92,74092.72,73932.3,72368.93,74724.484,73541.97,74815.125,71859.37,75009.68,74742.26,73170.38,74487.055,72877.56,72026.586
28,70003.67,67424.26,69175.625,69757.56,70801.63,69409.0,66429.33,70833.32,68870.41,69819.03,65775.484,69348.69,71524.04,66600.83,67444.016,67987.65,67521.41
29,72607.664,71064.67,72201.07,72337.125,73412.055,71609.43,70946.234,72612.43,72298.61,72842.984,69808.51,71420.52,72060.016,71084.35,69018.61,70907.34,70931.484
30,73668.23,71546.664,73074.73,73591.07,73814.055,72128.45,71090.24,74761.93,72625.42,73290.836,69982.74,72368.836,74881.09,70980.96,71354.85,71583.09,71233.33
31,76239.39,75035.195,78165.02,77860.43,77440.58,76306.96,74967.1,78858.164,75424.62,77812.875,73399.46,77727.95,77972.61,74801.766,74299.75,75310.84,74073.38
32,77766.42,78526.3,81445.94,80069.44,79713.23,79392.875,76033.43,81948.41,78266.63,80546.63,75285.125,81075.89,81574.01,77440.55,77433.52,78035.766,76219.1
33,77475.18,78319.25,84211.2,81796.42,81527.43,81355.96,73390.086,84027.195,78424.71,81591.945,73248.984,83611.26,84696.66,75155.586,74415.36,78044.36,74903.945
