,seoul,busan,daegu,incheon,gwangju,daejeon,ulsan,sejong,gyeonggi,gangwon,chungbuk,chungnam,jeonbuk,jeonnam,gyeongbuk,gyeongnam,jeju
0,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train
1,82172.59,71470.445,78046.055,79760.47,79483.805,81129.68,79637.4,80310.51,80198.49,78991.61,77547.84,78791.32,81401.7,78224.99,81008.25,80402.195,79862.445
2,75942.87,72299.77,75137.02,76275.82,75324.3,77744.18,75115.89,75022.41,75399.56,73608.05,72751.14,76571.18,77249.87,74864.42,77083.836,77016.89,75486.16
3,72914.03,72016.69,73259.92,73063.44,72664.12,74883.42,72450.54,72304.46,73048.8,73055.18,71102.57,75444.72,74033.52,72322.016,74140.62,75788.3,73042.61
4,72690.52,75880.65,72101.164,72093.29,71726.93,72535.71,72008.695,71085.625,71775.67,72556.79,71937.38,74472.24,72235.61,72720.47,72946.84,74312.7,72547.67
5,73446.16,75792.2,71962.34,72345.82,72926.06,71690.234,73185.984,73881.69,72955.414,73053.055,73812.266,74284.29,71857.75,73639.086,75092.73,74325.48,73337.74
6,74741.85,76749.35,74469.19,74889.4,76082.51,73417.805,77143.62,77441.08,74949.74,75493.0,75774.195,75615.27,74194.12,75209.74,77856.46,76952.67,75665.42
7,77529.6,79314.45,79296.75,79605.92,80330.24,78387.445,82676.79,80137.79,79110.03,79983.66,78224.664,79940.95,78895.05,79899.95,82179.97,80821.15,80474.305
8,83664.52,84971.73,86500.26,86317.195,85519.51,84299.89,87025.29,83949.07,84881.06,85779.195,81231.23,85218.336,85229.66,86621.37,87728.54,84653.29,86613.47
9,94165.11,95178.77,98238.89,97824.49,98658.055,93210.11,93718.86,91116.82,94921.22,97238.88,100288.05,94638.98,93911.836,95876.31,93921.53,96148.34,94932.62
10,100914.49,99148.29,99954.06,100037.97,102768.9,101654.4,101157.76,96856.41,101303.16,99796.13,97614.875,100588.234,100044.18,99363.23,99069.14,100762.305,98334.195
11,98836.68,97454.23,96738.04,98618.85,100701.93,98542.06,99153.64,98376.8,100779.36,95735.4,96658.81,98538.58,98507.2,97364.53,97917.91,100265.016,98177.85
12,97164.945,95607.74,96461.98,95507.03,96740.71,96713.45,97807.79,96638.62,99184.9,94489.08,93664.21,95912.055,97676.09,95333.9,93872.29,95676.67,95618.19
13,90549.86,92091.266,92134.11,90399.02,91504.33,92006.266,94348.164,93107.57,92211.38,91354.06,95703.53,91404.0,93036.51,91276.47,91171.836,94190.1,92219.5
14,96375.875,96565.88,95111.48,95967.8,94314.79,93604.58,93891.62,96297.17,97242.086,94949.914,93291.22,95476.88,98290.59,93713.67,94968.84,98388.02,95148.33
15,97027.41,97582.01,96066.586,98284.94,97627.445,95369.2,98854.76,97486.98,96629.77,96769.445,93956.42,95499.8,98018.03,96742.99,95648.56,98236.94,97857.29
16,97351.56,97732.164,96300.28,97842.33,97506.03,96664.03,97472.67,97668.49,99990.35,96308.516,94730.73,95966.33,95036.02,97334.93,96044.03,98200.83,97628.16
17,96164.37,96123.766,95290.49,96190.66,97172.28,94310.54,98005.45,96354.734,97912.81,94831.43,93349.67,94198.55,100768.52,96400.984,94210.32,98841.375,96576.836
18,98279.88,97212.89,97123.125,97669.3,99121.85,97756.41,98840.5,98483.66,98885.74,97723.61,95749.414,97693.984,100044.25,97973.96,95517.73,99888.89,98442.555
