,seoul,busan,daegu,incheon,gwangju,daejeon,ulsan,sejong,gyeonggi,gangwon,chungbuk,chungnam,jeonbuk,jeonnam,gyeongbuk,gyeongnam,jeju
0,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train
1,77496.76988749523,78391.54596551765,77138.29859139118,77697.58350049838,77153.15174383785,77148.40655170078,77628.64150323416,77351.40828086037,77102.73269525972,77036.13078531083,76832.29828710479,77168.73067908628,77241.68863823706,77330.59061444609,78116.80935981353,77343.99479662754,77436.54263100252
2,74535.10408763523,75733.69970908013,74918.02522800156,75358.08021390016,74649.56360961494,74518.22632756345,74706.73485969644,74527.58586232935,74536.63125896998,74575.25051466323,74328.884425105,74582.14815700395,74597.88804553232,74390.06745377142,74901.71047548934,74464.19779182905,74418.7566826389
3,73187.92768588054,74312.03983129722,73974.24307211545,73974.45855000122,73465.39650295983,73372.4942285693,72653.68244076736,72971.19680803413,73250.71384590962,73542.98265917563,73593.48473122167,73298.78881201845,73564.47062713015,72925.06841262628,73107.25742637276,72747.64532558323,73017.19485728253
4,72619.91901506028,73435.78907871874,72971.28322629679,73059.74116708062,72492.99625693176,72298.22639314485,71948.89544165097,72252.13186956682,72516.26312363228,72936.04890324207,72758.039337494,72139.39989049983,72903.81890594965,72295.1855006476,72268.67475556428,72095.69057297116,72305.20511266595
5,73295.70262445245,73379.07550953513,73141.44227444667,73042.97136432645,72901.61038507157,72582.42540088785,72630.44508840221,72850.89281506174,72927.51777734626,73235.50003734711,73197.89988340471,72515.54440310875,73387.0235768062,72904.12975559194,72862.9402725804,72660.1227344497,72639.33570814274
6,75383.93272162032,75347.90825773786,75242.11383025146,74729.3669502011,74923.80765053147,74723.35815234014,74916.19416239954,74915.71851914024,74916.90648401654,75180.06227078316,75267.54682305192,74636.44553454318,75423.07601181198,75128.43080555438,74825.67664927526,74737.55755535825,74744.63787856844
7,78967.38753629918,79059.04122613218,79068.65970710613,78430.4759982288,78955.12961408116,78725.83982382584,78681.7134848233,78657.90520441058,78963.87378886098,78901.14027044713,78834.67141374918,78685.15407956892,78912.26549755204,78850.06574535687,78858.78565562256,78557.91196609619,78552.00195173024
8,84991.56413583059,84644.40434793316,84885.0862007516,84865.9144830937,84805.87773393549,84820.28720455317,84487.36703880722,84964.28903859976,84439.2954494821,84900.16016804904,84702.58067829377,84702.7328602059,84582.14374061662,85019.21916235457,85090.35055664374,84680.81663944808,84594.64187969411
9,95138.9938049772,93915.62620309375,94816.561435593,94759.8072717971,93746.91267172436,95073.99865497169,94002.16832395208,94362.73103373885,93523.85315710286,94746.70393222239,94298.57531249465,94057.7603649839,94405.67918808077,94963.36638237904,94638.56916716219,94681.35818236266,93942.48747684828
10,99657.2140290973,97806.8203819236,98940.09046226858,98849.11281834553,97671.02482851048,99188.13566845295,98169.65339812731,98063.38084504595,97920.84224890888,98971.17694168245,98461.22046576411,98491.08345361945,98239.15670986356,98827.12377735766,98771.55378253199,98767.3053437125,98148.77701488673
11,97988.73040661053,96580.55297108451,97173.1387512979,97120.16595636107,96394.87786568988,97578.09726854677,96674.28269374523,96598.47743424567,96726.8683156247,97138.16582542128,96900.34709965302,96845.13760119592,96625.0366580048,96937.18826505731,97516.33949987695,97234.37380784815,96615.37859543254
12,95368.03655791581,94794.82032312977,94384.65304193218,94607.09559454424,94536.2113322987,94790.9514142403,94508.12937186375,94032.78669559321,94099.6565501668,94253.45899406502,94197.22313871262,94516.37212669526,94507.3524229484,94403.21136748645,95079.78550793455,94744.19609735503,94167.38053082701
13,92442.37722294465,92104.47859214802,91471.00652946354,91521.01534933549,92186.53658091907,91915.77444863177,91809.54380876629,90974.07963117682,91868.12897973151,91373.62605449383,91499.5201723821,91401.79190469568,92070.84138161161,91562.1857927151,92391.61967719195,92699.14891030357,91735.6158496525
14,94390.06633972538,94601.35067840315,94093.84654987829,94110.04868748292,94421.74879807842,94195.54490165702,94373.16269855495,93778.79934950659,93916.69882891889,93289.0586080785,93612.52204064222,93732.57409004502,94156.18261888498,93672.26388132504,94925.7520520243,94452.31507982413,94074.69014696678
15,96375.82930057347,96068.72233622624,95163.78498129564,95167.40364552753,95636.69720775072,95719.13843944829,95715.64077311459,94533.94216274083,95641.6236439382,94323.39234089316,94509.22496261468,95068.16106952865,95535.34854621111,94617.5620704033,96153.42472493679,95514.66957630572,95726.39041430512
16,96200.98515223354,96105.55522896853,94636.11228383405,95067.81172785701,95675.64457904379,95788.38938454379,95565.10401677739,94150.25842604901,95921.37824946406,94504.5255441831,94332.38220604026,95055.02461020029,95407.86862192754,94526.00564437167,96255.24314724935,95591.81117475836,96050.07065274111
17,97361.0525932666,97371.7046136008,96340.0775863297,97009.49232963136,97397.41595762123,97448.42007390129,97313.2613197586,95958.64192539624,97161.88034196754,96348.22087246411,96285.4904923809,96914.8001089785,97308.26391753375,96352.99770595043,97963.26895946368,97254.86092440764,97492.66413889226
18,97162.63602346879,96776.61878707004,96396.85274122372,96464.97852397081,96883.78721020767,96745.28361336445,96790.23509374584,96239.05941011323,96701.1466873931,96402.59659669505,96346.02917303664,96369.08198477025,96837.63682156103,96406.20921429065,96961.5112416743,96719.56141703336,96792.98110110205
19,95382.57088226604,94507.53176420488,94394.05229763308,94218.22150060104,94678.7319233529,94383.03032364856,94429.25347507586,94309.01690795021,94574.05257737791,94300.83532407197,94342.0342877942,94308.87299292203,94603.21741778665,94474.90240996779,94629.1940712551,94448.08616128711,94431.01497546106
20,92771.27623834395,91994.52638398588,91981.73958804626,91653.84181259875,92184.20360173075,91828.26536799967,91870.51100887726,91851.58448534862,91780.10931055354,91984.80065507337,91929.31124242426,92027.41912227267,92141.75681734981,91991.60857926006,92164.51089825778,91935.50561391514,91869.55411543147
21,89688.8341794565,89080.77484890039,89356.275599965,88658.42054731151,89315.14828305488,89149.83647792663,88847.2379344545,89005.59493846339,89337.15291057879,89213.38358629809,89100.80049950063,89151.49375944804,89449.81329440036,89274.89531471128,89358.44490088776,89272.31488055925,88962.17217543119
22,86206.77598564242,86100.63990681701,86357.48442082641,85583.24746873855,86196.30276597814,86161.2061253983,85640.05789837684,85889.45001944988,86314.20596144197,86149.69712536538,85788.05463245013,86014.26667048247,86406.85101133226,86165.20331840903,86209.16613837126,86139.06433127947,85744.43637276471
23,85127.697361227,84465.43766560554,85060.7676369127,84525.60765440919,85023.88885966486,84978.41518349922,84421.15246643643,84762.97177234525,85021.9983408866,85059.15752120019,84680.0053328229,84881.23960453192,85025.17390978485,85059.97005322736,85043.09915348861,84597.79399962218,84522.25834100276
24,83349.31055414538,82803.80223377925,82991.68940517078,82753.48145475159,82844.75710237956,82612.6825485306,82770.53659703821,82936.15087208373,82684.41664899037,82814.32032946876,82754.06172252035,82667.75788564725,82798.41250334514,82835.64445923507,83221.98425986254,82525.11369403408,82765.76633192398
25,77335.84579814295,77920.799074722,77374.81787288681,77415.50403854111,76947.38101677303,76867.75972076906,77323.09914278766,77528.68145261609,76551.26537960887,77197.04580597827,77037.26795768284,76788.78133888659,77067.13299557395,77352.586229397,77701.5782409564,77136.48925267278,77201.79353379252
26,71790.36039724115,75086.42896121349,73710.860663401,73851.12119981005,73725.22610166033,72780.60591339896,73215.44884502624,73097.28881090479,73664.87960980539,72558.05502825894,72493.5128129425,72989.38701003222,72634.93163908439,72917.96644077353,73938.41648029989,72750.79988040465,72668.06200468837
27,70233.92473419671,73902.07415412647,72778.61150668416,72632.63247631153,72770.0131165593,71989.1019820026,71284.2921393087,71572.5571814487,72684.43767303339,71196.56033886086,71924.78349068115,72044.42904652748,71830.19188428484,71532.3030182713,72385.89817212196,71254.86400793855,71411.58211820501
28,68739.7785791511,73234.42319685947,71200.03404088406,71532.40959486208,71781.52759217341,70525.84036603551,70381.75406315138,70386.75271266191,72118.89446756095,69599.25943591275,70322.56437255547,70735.10733489327,70761.83911743549,70690.2459080151,71611.42031771281,70394.27623890029,70415.10313074412
29,69354.79928291716,73270.57355300516,71560.12116440732,71676.81600957483,72346.62526277427,71077.88870368338,71191.63027696154,71236.94027933505,72664.94051246946,69636.48426902505,71051.5381633532,71479.5268998312,71509.47887010303,71527.86270518218,72334.12563002098,71173.99116973273,71002.40131473709
30,71397.62932793314,75334.15919133072,73680.84072735521,73585.2239185725,74381.35364961316,73276.39354145559,73465.50925430018,73365.6520521947,74715.17741669623,71436.7641959394,73261.12082305031,73826.72566165052,73611.1423302274,73827.02899171568,74343.0400013553,73319.7761859178,73243.69798842863
31,72849.16438445073,78902.45265709543,76318.30114218491,76320.50933364169,78018.21474758063,76020.18871132485,75813.96178782827,75870.16359356334,78418.21892614127,73123.28488181191,75391.32583685241,76925.29797719374,75721.41821287252,76350.35680209663,78042.08993043697,75860.52606786483,75686.32908201899
32,74370.21494009503,82963.7499796373,79239.73652962502,79878.05926021979,81806.61926661729,79047.8046393781,78469.72193413039,79676.32046028419,81835.9899783219,74461.16302002918,78225.67959217982,80200.23246142684,78461.98312959245,79917.33770091888,82367.82011796605,79091.8021193851,78633.18008211117
33,74033.25931042393,88232.50024770678,82401.45076457673,82843.27299205698,85705.41117163021,81852.06837597405,80230.25204010298,82671.56979108587,86116.68586874002,74245.28191341969,80197.7186752093,83188.68235411761,81015.33837267003,83425.97986772683,87075.60781361895,81595.74616588018,80462.94322320589
34,62336.17050266628,86881.90001755863,76256.65371424243,75193.95584346414,82612.04013917298,74437.50877216259,72504.54073784694,75787.41889791608,84031.65699417815,62884.52957884014,71597.61631188907,76942.6354597222,74408.91156787847,77097.54360347125,83548.39888912626,73948.14968584004,73370.0434785059
35,53184.24598738531,80523.8477821484,64473.76356913884,62125.1610138347,73099.40580663763,62368.24731957326,60319.82533785621,62958.261579273574,76582.53310107112,53810.86756735775,58446.24034315184,63607.6425156993,63022.77524465764,65492.27861212049,73113.85806219082,61272.680910921685,60847.15768417323
36,52225.33885590365,76756.29984203143,61674.478816095434,58924.37758595783,68586.29688724311,59295.81500899575,57842.22297422246,59655.77373188988,72792.53388420284,53480.47073361286,56479.67802166104,60924.68025762837,60303.043059408854,62153.083608254135,68616.6469676448,57994.70122805156,58519.194104831025
37,51970.76045553696,69730.73716378385,58355.96431100936,56219.1484380973,63640.98391933351,56816.937096171794,55647.67701080354,56739.48604290135,66973.1950883245,52804.50616770204,54809.92947923509,57662.08853596639,57387.73953651376,58699.58200612453,63747.28330172069,56105.28191111418,56578.987022287205
